YB2         ,   5.19331
YB1         ,   5.19463
KB20        ,   4.90856
KB1         ,   4.91067
KB19        ,   4.90781
RB3         ,   4.32711
RB6         ,   4.33103
KB3         ,   4.90501
KB4         ,   4.89725
KB17        ,   4.90144
KB5         ,   4.90271
KB6         ,   4.90160
KB14        ,   4.90425
KB15        ,   4.90080
RB2         ,   4.30626
RB5         ,   4.31047
KB25        ,   4.83579
KB32        ,   4.84592
KB31        ,   4.84709
KB24        ,   4.84191
KB33        ,   4.84661
KB34        ,   4.84123
KB23        ,   4.83016
KB22        ,   4.82890
KB35        ,   4.83827
KB36        ,   4.84274
KB21        ,   4.83346
KB26        ,   4.83759
KB27        ,   4.83597
KB30        ,   4.84199
KB29        ,   4.83592
KB28        ,   4.84270
RB4         ,   4.32591
RB1         ,   4.31804
KB12        ,   4.91157
KB10        ,   4.90816
KB11        ,   4.90828
KB13        ,   4.90375
KB8         ,   4.90358
HB2         ,   4.82301
HB1         ,   4.82012
SB4         ,   4.82596
SB1         ,   4.84904
SB2         ,   4.71196
SB3         ,   4.82186
CB3         ,   4.87988
CB2         ,   4.93032
CB1         ,   4.92733
FB1         ,   4.71041
FB4         ,   4.65254
FB3         ,   4.67313
FB2         ,   4.52540
NB3         ,   4.71748
NB2         ,   4.61470
NB1         ,   4.58990
NB7         ,   4.60919
NB6         ,   4.59428
NB5         ,   4.96786
NB4         ,   4.64152
CB6         ,   4.91955
CB5         ,   4.90730
CB4         ,   4.89028
N4          ,   5.39835
N3          ,   5.38914
N2          ,   5.42257
N1          ,   5.42331
F4          ,   4.57822
F1          ,   4.60536
F3          ,   4.58632
F2          ,   4.67262
C1          ,   4.78283
C2          ,   4.83465
C3          ,   4.80130
C4          ,   4.68352
C5          ,   4.83841
C6          ,   4.69041
H4          ,   5.33242
H3          ,   5.35347
HB4         ,   4.81650
HB3         ,   4.82319
Z5          ,   4.65864
Z4          ,   4.61486
Z3          ,   4.63708
Z2          ,   4.63402
Z1          ,   4.62656
Z10         ,   4.64326
Z9          ,   4.85617
Z8          ,   4.87862
Z7          ,   4.89454
Z6          ,   4.82790
E7          ,   4.83359
E8          ,   4.86241
E5          ,   4.83707
E4          ,   4.85624
E9          ,   4.85929
E10         ,   4.86760
E3          ,   4.88194
E2          ,   4.84634
E11         ,   4.86662
E12         ,   4.86732
E1          ,   4.86805
KB18        ,   5.03239
KB2         ,   5.02855
KB16        ,   5.03499
G27         ,   4.41755
G24         ,   6.49450
N103        ,   3.93101
ST8         ,   4.31982
N102        ,   3.91988
W13         ,   4.44141
W4          ,   4.43662
W14         ,   4.43882
W15         ,   4.45165
W16         ,   4.44875
W1          ,   4.42872
W5          ,   4.43426
W6          ,   4.44184
W7          ,   4.43142
W2          ,   4.45159
V4          ,   4.46713
V14         ,   4.46236
V15         ,   4.46149
V16         ,   4.45022
V1          ,   4.48290
V5          ,   4.48632
V6          ,   4.46424
V7          ,   4.46702
V2          ,   4.46265
V9          ,   4.45384
V10         ,   4.45168
V3          ,   4.46524
V11         ,   4.45283
V12         ,   4.45611
V13         ,   4.46661
W8          ,   4.45756
W9          ,   4.44391
W10         ,   4.45382
W11         ,   4.44309
W12         ,   4.44755
E6          ,   4.87279
W3          ,   4.45029
